Date,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Species,Fatality,Country_value,Sex_value
7-May-22,Unprovoked,FRENCH POLYNESIA,,,,Hand bitten,N,,0.0,19.0,
3-May-22,Provoked,USA,Fishing,M,,Thumb bitten by hooked shark PROVOKED INCIDENT,N,Blacktip shark,0.0,1.0,0.0
1-May-22,Unprovoked,THAILAND,Playing in the water,M,8,Laceration to left calf,N,Small shark,0.0,43.0,0.0
30-Apr-22,Unprovoked,FRENCH POLYNESIA,,M,22,Cut to knee,N,Tiger shark,0.0,19.0,0.0
Reported 27-Apr-2022,Unprovoked,AUSTRALIA,Paddleboarding,M,32,"No injury, knocked off board by shark chasing a turtle",N,,0.0,2.0,0.0
17-Apr-22,Unprovoked,USA,, M,56,Laceration to lower leg,N,,0.0,1.0,0.0
12-Apr-22,Unprovoked,USA,Swimming,M,17,Bite to right foot,N,,0.0,1.0,0.0
11-Apr-22,Unprovoked,USA,Standing,M,Teen,Bite near big toe,N,Small shark,0.0,1.0,0.0
9-Apr-22,Provoked,USA,Feeding sharks & stingrays,F,12,Finger nipped by captive shark PROVOKED INCIDENT,N,Carpet shark,0.0,1.0,1.0
7-Apr-22,Unprovoked,USA,Kayaking,M,,No injury to occupants. Kayak bitten,N,,0.0,1.0,0.0
1-Apr-22,,SOUTH AFRICA,,M,,Possible drowing and scavenging,Y,,1.0,3.0,0.0
31-Mar-22,Provoked,USA,Fishing,M,50s,Knee bitten                    PROVOKED INCIDENT,N,,0.0,1.0,0.0
18-Mar-22,Unprovoked,COLUMBIA,Swimming,M,56,FATAL,Y,Tiger shark,1.0,51.0,0.0
15-Mar-22,Unprovoked,NEW ZEALAND,Surfing,M,,"No injury, shark leapt on surfboard",N,,0.0,5.0,0.0
15-Mar-22,Unprovoked,AUSTRALIA,Surfing,M,32,Lacerations and punctures to leg and foot,N,Bull shark,0.0,2.0,0.0
15-Mar-22,Unprovoked,AUSTRALIA,Swimming,M,,,N,,0.0,2.0,0.0
13-Mar-22,Unprovoked,USA,Surfing,M,20,Bite to right foot,N,,0.0,1.0,0.0
9-Mar-22,Provoked,USA,Fishing,M,21,M inor injuries to knee and calf of left leg                            PROVOKED INCIDENT                 ,N,Blacktip shark,0.0,1.0,0.0
8-Mar-22,Unprovoked,AUSTRALIA,Surfing,M,,"No injury, board bitten",N,,0.0,2.0,0.0
21-Feb-22,Questionable,BAHAMAS,Diving,M,51,Arm bitten,N,,0.0,6.0,0.0
17-Feb-22,Unprovoked,AUSTRALIA,Fihing,M,,Lacerations to left thigh,N,Tiger shark,0.0,2.0,0.0
16-Feb-22,Unprovoked,AUSTRALIA,Swimming,M,36,FATAL,Y,,1.0,2.0,0.0
12-Feb-22,Unprovoked,MEXICO,Surface Supplied  Diving,M,56,FATAL,Y,Small shark,1.0,8.0,0.0
11-Feb-22,Unprovoked,USA,Surfing,M,18,Puncture wounds to foot,N,,0.0,1.0,0.0
Reported 10-Feb-2022,Provoked,BAHAMAS,,F,37,Minor injury,N,Nurse shark,0.0,6.0,1.0
5-Feb-22,Unprovoked,AUSTRALIA,Floating in inflatable pool ring,F,20,Torso bitten,N,White shark,0.0,2.0,1.0
24-Jan-22,Unprovoked,AUSTRALIA,Swimming,M,M,Foot bitten,N,Wobbegong shark,0.0,2.0,0.0
22-Jan-22,Unprovoked,AUSTRALIA,Snorkeling,M,,"Knees, ankles & feet bitten",N,Wobbegong shark,0.0,2.0,0.0
9-Jan-22,Provoked,SOUTH AFRICA,Fishing for sharks,M,,"PROVOKED INCIDENT               No injury to occupants, shark bit ski",N,,0.0,3.0,0.0
9-Jan-22,Unprovoked,NEW ZEALAND,Swimming,F,13,Puncture wounds,N,Seven gill shark,0.0,5.0,1.0
6-Jan-22,Unprovoked,USA,Wing Foil Surfing,F,42,Punctures to leg,N,Spinner shark,0.0,1.0,1.0
4-Jan-22,Unprovoked,AUSTRALIA,,F,42,Minor lacerations to lower thigh,N,,0.0,2.0,1.0
1-Jan-22,Unprovoked,AUSTRALIA,Surfing,M,40s,"No injury, knocked off board",N,,0.0,2.0,0.0
25-Dec-21,Unprovoked,NEW ZEALAND,Swimming,F,9,Laceration to big toe,N,,0.0,5.0,1.0
26-Feb-22,Unprovoked,USA,Boogie boarding,M,42,FATAL,Y,White shark,1.0,1.0,0.0
22-Dec-21,Unprovoked,USA,Wing Foil Surfing,F,42,Punctures to leg,N,Blacktip shark,0.0,1.0,1.0
11-Dec-2021`,Unprovoked,AUSTRALIA,Spearfishing,M,24,Laceration to leg,N,Bull shark,0.0,2.0,0.0
Reported 06-Dec-2021,Unprovoked,MEXICO,Diving,M,14,Lacerations,N,,0.0,8.0,0.0
6-Dec-21,Unprovoked,AUSTRALIA,Swimmingq,F,15,Lacerations to right calf and hand,N,,0.0,2.0,1.0
6-Dec-21,Unprovoked,AUSTRALIA,Swimming,M,15,Lacerations to back,N,,0.0,2.0,0.0
4-Dec-21,Unprovoked,USA,Surfing,M,,Arm bitten,N,Blacktip shark,0.0,1.0,0.0
7-Nov-21,Unprovoked,USA,Spearfishing,F,27,Leg bitten,N,,0.0,1.0,1.0
6-Nov-21,Unprovoked,AUSTRALIA,Swimming,M,57,FATAL,Y,,1.0,2.0,0.0
3-Nov-21,Unprovoked,BRAZIL,Swimming,M,,Laceration to lower right leg,N,,0.0,7.0,0.0
